,Fold_GSE118370,Fold_GSE23066,Fold_GSE40791,Fold_GSE30219,Fold_GSE31210,Fold_GSE18842,Fold_GSE50081,Fold_GSE140797,Fold_GSE19804,Fold_GSE7670,Fold_GSE19188,Importancia_Media,Consistencia_Signo
FCGBP,0.15512077802413884,0.1384577803895133,0.01095502192709723,0.24308396984563285,0.0,0.08338672127669812,0.0,0.1670870124260532,0.0,0.10113585120756077,0.12079820241525399,0.09272957613744985,8.0
LINC00312,0.09808461503875134,0.13615250076883018,0.10211787261487519,0.0,0.05775418579216189,0.09777000390717273,0.00281943645107162,0.12124799389283754,0.13351491787818787,0.17723456335178078,0.09202857557349052,0.09261133320628724,10.0
AIM2,0.1870520228957426,0.0,0.06514087264179105,0.0,0.023663017816870448,0.0,0.10226101729451234,0.19958084846026894,0.23389264255418157,0.14237050360375672,0.02678981593395554,0.08915915829100719,8.0
ADORA3,0.11264855493958668,0.0,0.004881838979501864,0.10899171273393606,0.0,0.22210850799601056,0.10445443995187048,0.11003693656911437,0.06992398575809589,0.07481466626945801,0.16891157743815519,0.0887974746032481,9.0
TBC1D29,0.09507792511973921,0.11689241814966829,0.07245550258697361,0.0,0.1566884282484353,0.10974882904749125,0.08101559806071364,0.12776459194705897,0.0,0.14023793386507874,0.07004162981935699,0.08817480516768328,9.0
OS9,-0.11690784622257286,-0.10230493611417717,-0.0630247680620819,-0.09842141882582181,0.0,-0.1899117190914736,-0.06890232105141493,-0.09809863021611716,0.0,-0.1333314689502565,-0.09302232885057972,0.08762958521677233,-9.0
DPY19L1,0.04805197349773789,0.08425963183856944,0.12069152066385276,0.15872371862190177,0.0,0.1096869164953653,0.03308865002441912,0.15009131299354198,0.0,0.1836112117838099,0.07467346020345986,0.08753439964751436,9.0
GNGT1,0.08095226772270232,0.006553537998178293,0.087951100915815,0.09070785297671728,0.13764767669442887,0.17605950278696533,0.0908054956818992,0.08708977050992762,0.0,0.15254667021599236,0.044682098303865186,0.08681781580059013,10.0
GIT1,-0.18935815662988184,-0.00756684817737656,-0.22406083209321764,-0.054640678837667156,-0.05069740614863664,-0.10808892595675801,-0.04371418533391944,-0.1273890974362923,0.0,-0.09849176938297795,-0.032226629377488644,0.08511222994311057,-10.0
KRT6A,0.04734117444950929,0.0,0.016416427343818048,0.012265094997145377,0.34353846414180783,0.13448955198011764,0.0,0.054717714269276754,0.06828028670430211,0.003909310741933009,0.2511386401544143,0.08473606043475676,9.0
PCSK1,-0.09806145574401881,-0.07577441678581667,-0.04658938073358108,-0.14322046556691237,0.0,-0.11742806579658267,-0.0476505889443549,-0.11381821103108797,0.0,-0.1255717100327796,-0.14937679492236622,0.08340828086886366,-9.0
CD40,-0.1417125988343986,-0.05947271445018492,-0.08695805885603243,-0.0643719652583858,0.0,-0.17248579495746807,-0.13042232010393723,-0.11577551581487139,-0.04781418197224723,-0.0967198430027103,0.0,0.08324845393183963,-9.0
PYCARD,-0.13360838380035187,-0.00882532451457799,0.0,0.0,-0.049797226544776745,0.0,-0.16868493589147396,-0.16650868174998334,-0.19066789858269045,-0.02226910614419003,-0.16127719953404526,0.08196715970564451,-8.0
FLRT3,-0.1371793378030491,0.0,-0.2692960625644008,0.0,-0.14805998069840925,-0.009899487108393388,-0.0027533068039382958,-0.1024258035602182,-0.13092570838661174,-0.10018703894029586,0.0,0.08188424780593788,-8.0
SPRR2B,0.10750469006138261,0.0278398736598951,0.024551801984697082,0.0018881679461329973,0.0,0.08607807159828941,0.03214603773346815,0.132811430915871,0.2389006128028021,0.2127922804401135,0.03613407749183556,0.08187700405768067,10.0
UFD1L,0.07943771986187062,0.07533928644969892,0.07099929177438082,0.04133452821305089,0.1805312058940234,0.036129500316308696,0.03864457044518322,0.1222048418908126,0.13690532314553955,0.11560279755332198,0.0,0.08155718777674462,10.0
GJB1,0.1517770974584038,0.0,0.0,0.04440040298304575,0.0902939620457953,0.0,0.23761303416987667,0.08899596024601279,0.039091360009078036,0.1390260878763216,0.0785448369637865,0.07906752197748368,8.0
CDKN2B,-0.1296183072622022,0.0,-0.10937961663598278,-0.097829830083119,-0.23904935812106037,-0.0028147826571576435,-0.024122994865400656,-0.08451232051384963,0.0,-0.0895269458164985,-0.09131796587576964,0.07892473834827642,-9.0
SOX17,0.09999368219433769,0.12239915995089523,0.0,0.0,0.17124139903437197,0.11131814905670583,0.06212409531711215,0.06883622835544773,0.15984009770808458,0.05623255756498927,0.0,0.07745321538017676,8.0
S100A11,0.07090424498452416,0.0,0.10039200729567133,0.0,0.01744886281059981,0.0006894546340891169,0.24212099092275677,0.1071752234082299,0.0,0.09079780714579747,0.22153703142116915,0.0773696020566216,8.0
S1PR1,0.07921828501902789,0.2031900545646799,0.11182798876013919,0.0,0.0,0.0,0.1145678174626661,0.12428816382926015,0.02191474258709632,0.15794741384867783,0.03542188653617865,0.07712512296433872,8.0
SCGB2A2,0.14294896857131795,0.061583950645206414,0.019430717493277787,0.2016214680797946,0.036253394617683996,0.09316381330429813,0.055458806285042614,0.10483974406893129,0.01771414755391565,0.1153408657447003,0.0,0.0771232614876517,10.0
OR7E12P,-0.11306065106620446,-0.02925930708941713,-0.2923206239098992,-0.011589321060477237,0.0,-0.02684298640068363,-0.12933115689100502,-0.11222093557390667,-0.04295280017376016,-0.046182871594952324,-0.04216617490714819,0.07690243896976855,-10.0
GRAMD3,0.014922231284483778,0.017561709160963147,0.00022494717630117296,0.0,0.2682597680924782,0.12489285965963494,0.0798391773615151,0.07355298233815342,0.0,0.05279021662618202,0.21352557640469824,0.07686995164585546,9.0
HDAC9,0.05903657796438786,0.0,0.016653725640642582,0.15479161225740445,0.0,0.09629838177914782,0.14639370486786962,0.04521785639015912,0.1206005843930395,0.06565063748483553,0.13313284146579862,0.07616144747666227,9.0
DYRK2,0.07379528339126207,0.14478876538326474,0.010672169437766206,0.15818646556167645,0.06647623504197211,0.04501832647560054,0.0436036935783494,0.12891470064673294,0.0,0.13713119698399284,0.02442486971641112,0.07572833692882076,10.0
F10,-0.06489536429416043,-0.05396350254567743,-0.11430094446670376,0.0,-0.13014828053543498,-0.1925182026600422,-0.08455772661493625,-0.05832726751418037,-0.0615143318740245,-0.06679770413239773,0.0,0.07518393860341432,-9.0
TOMM20,0.066209801491008,0.09728654452276736,0.07675069597987914,0.1373330975039527,0.0,0.08534378511350968,0.0,0.12630867926023973,0.12981162089032477,0.10554237782862251,0.0,0.07496241841730035,8.0
AKR1B10,0.14993195298649564,0.15695076682715603,0.11213176799363588,0.0,0.0,0.1958323652803065,0.08899407211610877,0.06961807243915304,0.03229019669834722,0.014243334250453958,0.0,0.07454477532651428,8.0
HHLA1,-0.08968782809207605,-0.07520534844076357,0.0,-0.0907026520190977,-0.023729151587951046,-0.15353579355723926,-0.023830794482935406,-0.08208847245714597,-0.1563926700834893,-0.11958030483679813,0.0,0.0740684559597724,-9.0
ACSS3,-0.05165640029333603,-0.03545190331224852,-0.08650431565859835,-0.027108477746643014,-0.19493069149491424,-0.03584898190887876,0.0,-0.09084134958872506,-0.0846718898502274,-0.13418464269575797,-0.07208163536402426,0.0739345716284867,-10.0
MYL7,-0.09693923646969023,-0.016574810583590633,-0.09771821663440992,0.0,-0.08215655468978161,-0.03538434214508557,-0.15755374911288736,-0.10481759540651607,-0.09343193311060362,-0.11939513986130514,0.0,0.07308832527398819,-9.0
SLC1A2,-0.17780501392769985,-0.06701457315655639,-0.10118309358140802,0.0,-0.03641603884066595,0.0,-0.005446195328295551,-0.11173076127879021,-0.21126668699483467,-0.06371195441313122,-0.028468751076757334,0.07300391532710357,-9.0
STAP1,0.02810975644807648,0.08215253892139313,0.01673350650729044,0.0,0.0,0.1749480107008901,0.20793324248792802,0.12910686034767202,0.0,0.12212627599327963,0.040113883007312945,0.07283855221944026,8.0
ARHGAP8,0.0856954821219031,0.086206853977986,0.04516141194092147,0.03632323800155116,0.0,0.05197114001630668,0.12525280273664477,0.12707251053751914,0.020783250245528382,0.021681119758804216,0.1975183841263958,0.07251510849668734,10.0
CYP3A7,-0.10585852205669162,-0.10094507051942483,-0.12941432433887776,0.0,-0.16318938221645288,0.0,-0.11225781617747264,-0.07732367313921473,0.0,-0.09387048918090286,0.0,0.0711690252390034,-7.0
RGS17,0.0860006924253029,0.2961518961133106,0.03361241014148127,0.010191783408355474,0.0,0.0,0.04259758118901675,0.06641098362948175,0.12510537496572988,0.11937388682158984,0.0,0.07085860079038805,8.0
MIA,0.07649465172671731,0.09853334730160784,0.2539696803669222,0.012630006886309962,0.0,0.1094818397867457,0.0,0.07754552774207342,0.1054374418263668,0.044533096958747125,0.0,0.07078414478140821,8.0
RCN2,0.1207846817781914,0.02981458890728359,0.0022286202525433063,0.09581077117336524,0.03650570701857641,0.08637142776010376,0.025045317543362578,0.0992129861696029,0.16020359206455514,0.11536974731133431,0.0,0.07012249454353806,10.0
CLEC1B,-0.09732148831961199,-0.03382267522693583,-0.15547508512737476,-0.08301016690506183,0.0,-0.0789619866549275,-0.08167205008952647,-0.08577499352116758,-0.0609618368426359,-0.08939239609115525,0.0,0.06967206170712702,-9.0
TUBA3C,0.0788718326833696,0.013918147350961835,0.07514026887278258,0.0,0.060774540356039464,0.005731749710291026,0.1647057329855084,0.09157405933112076,0.09588059079439103,0.09706640112392445,0.08149296660681797,0.06955966271047337,10.0
NUBP2,0.13236788567043925,0.1303453054156305,0.13384997997707307,0.0,0.07843351862367884,0.09610979468612123,0.05330130677998493,0.07268563730508061,0.04434878857511861,0.022940406994405974,0.0,0.06948932945704846,9.0
