GENE_SYMBOL,Num_Estudios,LogFC_Medio,Consistencia_Direccional,GSE118370,GSE18842,GSE19188,GSE19804,GSE31210,GSE7670
ARHGEF15,6,-1.059014517940187,1.0,-1.9608362831018509,-0.8118310097174373,-0.8650866858910066,-0.5592365716285865,-1.164951813071963,-0.992144744230278
FAM107A,6,-3.3168152979612255,1.0,-2.2773001590990267,-4.146690202469024,-3.6287137634167586,-3.0654415996206943,-2.831780695417688,-3.95096536774416
GSTM5,6,-1.4048414324641427,1.0,-2.503500790671297,-1.462230554171458,-1.1201415818826752,-0.8054552429026778,-1.4610090840466494,-1.076711341110098
PECAM1,6,-1.6119352558031128,1.0,-1.92247159989914,-1.7200353642837092,-1.4700651532871012,-1.3499390477907252,-1.416693977326112,-1.7924063922318894
GPM6A,6,-2.98409901639476,1.0,-2.575266814953705,-2.939331166467199,-2.7393643604559457,-2.7136135705578353,-3.486155935353117,-3.450862250580755
PARVA,6,-0.5471882462660055,1.0,-0.6839077561177263,-0.4521780260612589,-0.6852788100857745,-0.3327785873080273,-0.4784511398387732,-0.6505351581844732
JAM2,6,-2.137499752117571,1.0,-2.424577502648813,-2.731231173129265,-2.2576564158820176,-1.9268300817162292,-1.9613265358779903,-1.5233768034511108
MYH10,6,-1.3815658964049427,1.0,-1.7029759154474444,-1.2646962222627351,-1.5043186951429606,-1.05257960788256,-0.9905912111049756,-1.7742337265889798
SLC6A4,6,-3.5848062434756662,1.0,-4.990713787546297,-1.9155215946220263,-3.6895420638990233,-2.891449010237523,-4.584170240494811,-3.4374407640543145
COX7A1,6,-1.65541497755423,1.0,-1.704957150173609,-2.1155217043433803,-1.6597858225342017,-1.362690613028832,-1.394667759343866,-1.6948668159014917
P2RY14,6,-1.6987267320500088,1.0,-1.7258708421296287,-1.9554037179070924,-1.8670073752175127,-1.67257003520481,-1.369184910363547,-1.6023235114774623
LAMA4,6,-0.7514391019950436,1.0,-1.7050941802156494,-0.2785318843082356,-0.3259004457715827,-0.3343983442909426,-1.0216269939111786,-0.8430827634726734
TMEM100,6,-4.1863688040561735,1.0,-4.556917912864057,-5.093357139133147,-4.912566490871734,-3.5852420116215926,-3.3918106923187903,-3.5783185775277246
GFOD1,6,-0.901470620611161,1.0,-1.419443190324075,-0.2728496057567877,-0.4402732958632269,-0.6071569094897171,-1.1315536953406768,-1.537547026892483
CSRP1,6,-0.9870271441173211,1.0,-1.324776970601853,-1.0483480503931322,-0.9887555465896568,-0.5793306505173668,-0.7785984662647891,-1.2023531803371288
FUT2,6,1.3856018162934811,1.0,2.0559835094907415,1.0686682403537802,0.8711699520149613,1.3203310058298596,1.77349338070397,1.2239648093675743
CALCRL,6,-2.1398097927015067,1.0,-3.0668349083824253,-1.996513896257876,-2.0819915363686863,-2.00851708198594,-1.7907588782207142,-1.8942424549933976
MEIS1,6,-1.1996966213210805,1.0,-1.9091565855324095,-0.8441291726397937,-1.2058642502121637,-1.0538480707723563,-1.0359747481150985,-1.1492069006546617
TIMP1,6,1.1541083383082171,1.0,1.7060267713260586,0.7322899365564073,0.8174587530001421,0.8315408161650915,1.318516430066934,1.5188173227346695
FXYD6,6,-1.4604946040077131,1.0,-1.3111132106216932,-1.5556853936676234,-1.4296366708792476,-1.4261768462813862,-1.4470554167005538,-1.593300085895775
MYLK,6,-0.8231346839644024,1.0,-1.52390955544643,-0.3487202837869372,-0.58468085670079,-0.4501599085685432,-0.5958567597729996,-1.435480739510714
KIAA1462,6,-1.8594050605265433,1.0,-2.1358109295282173,-1.5272875016115766,-1.9061414187909205,-1.974543864169096,-1.5458036634454189,-2.0668429856140316
FZD4,6,-1.0579444653592276,1.0,-1.2973126885218278,-0.8268590679198455,-0.6454082039980886,-0.8246246495237877,-1.6440041205687166,-1.1094580616230996
TJP1,6,-0.8096798035840117,1.0,-1.0552003998349573,-0.5078224673980678,-0.754978204762158,-0.8337320856377435,-0.6881022956363978,-1.0182433682347458
ADRB2,6,-2.1175179727615556,1.0,-2.2696605763699385,-2.6905659556698245,-2.770065244332085,-1.970627168016283,-1.2614735424417347,-1.742715349739468
SLC25A5,6,0.41074917460925015,1.0,0.7185184734848491,0.5293133532290923,0.3177171331510392,0.2758514536281655,0.2400277372006503,0.3830668969617044
KLRF1,6,-1.9037637519634274,1.0,-2.7377412193270505,-1.7555976063986731,-1.6983021697888168,-1.9614609447065696,-1.555444835627385,-1.714035735932069
KLRC4-KLRK1,6,-0.8929085436751995,1.0,-1.4554508772954815,-1.2328969665301663,-0.7236365965751689,-0.8912243882940354,-0.3654531573448061,-0.6887892760115388
KLF4,6,-2.198232491998419,1.0,-2.3353758526951065,-1.7859038267743976,-2.0738184402148905,-2.3304515410699445,-1.8421477199071568,-2.8216975713290164
MYOZ1,6,-0.6896794666207341,1.0,-1.262783464953702,-0.647133531233548,-0.5701034369855896,-0.3312973116949509,-0.4931703697900422,-0.8335886850665721
PAFAH1B3,6,1.5515930666353521,1.0,1.118246359952602,1.842261803100893,2.025820250093006,1.0577046092470432,1.0450805236636054,2.220444853754964
