GENE_SYMBOL,Puntuacion_Consenso,LogFC_Medio,Importancia_Media,Consistencia_Signo,Num_Estudios
UTS2,0.06966839024649461,0.6480732859559302,0.0018412322751467,1.0,1
HOXD11,0.06963275112164202,0.6680490988157557,0.0,0.0,2
HSDL2,0.06960163486104015,-0.6677659588737479,0.0,0.0,5
TNNI2,0.06957285474091858,-0.6675040764564978,0.0,0.0,4
MYO15B,0.0695585195211074,-0.6673736342623685,0.0,0.0,4
GZMA,0.06955109626758303,-0.6673060869564986,0.0,0.0,4
GMPPA,0.06954814363664986,0.6672792197258284,0.0,0.0,4
PTPRC,0.0695396105825094,-0.6672015738773959,0.0,0.0,4
IFIT5,0.0695313164009193,-0.6671261016307634,0.0,0.0,3
SNAPC1,0.06952942641651556,0.6671089038677893,0.0,0.0,2
IGF2BP2,0.06948263846001454,0.6666831605736363,0.0,0.0,2
KCNK13,0.06945668518466142,0.666447000805841,0.0,0.0,1
PLEKHG6,0.06945254410731024,0.6664093194013796,0.0,0.0,4
VIP,0.06943008105609072,-0.6662049186508848,0.0,0.0,4
EIF4G1,0.06941947178489594,0.6661083804302653,0.0,0.0,3
RAB6B,0.06941360038567998,0.6660549540994224,0.0,0.0,3
VPS37B,0.0694064494358962,-0.665989884599813,0.0,0.0,5
TMEM62,0.06939951074044252,0.6659267464916225,0.0,0.0,2
MAP1LC3C,0.06938364854998727,-0.6657824097493936,0.0,0.0,4
PSMD2,0.06937308712256474,0.6656863068793798,0.0,0.0,4
E2F5,0.0693587790131512,0.6655561113741607,0.0,0.0,3
BSPRY,0.06933856207476656,0.6653721489490145,0.0,0.0,2
PRG2,0.06933703126852513,0.6653582194992014,0.0,0.0,1
FAM69A,0.06933220940739766,0.6653143433568375,0.0,0.0,5
CKAP4,0.06932991729481229,0.6652934864604128,0.0,0.0,5
OLFML2B,0.06931035512161483,0.665115482019084,0.0,0.0,3
TDGF1,0.06930717417305207,-0.6650865372302768,0.0,0.0,1
PSMB5,0.06928435582043517,0.6648789034429355,0.0,0.0,5
FKBP5,0.06921706342107115,-0.6642665815994698,0.0,0.0,3
PTGIR,0.06920669455478087,-0.6641722309241853,0.0,0.0,5
FAM57A,0.0691909653787854,0.6640291045364688,0.0,0.0,4
DLG3,0.06918698041387779,0.6278137614483373,0.0032814649584781,1.0,5
MSX1,0.06918690783309477,-0.6639921832217184,0.0,0.0,5
PVRL3,0.06918550870436214,-0.6639794519609384,0.0,0.0,3
PBLD,0.06916294229241672,0.6637741106877275,0.0,0.0,2
SERPINB9,0.0691243488035579,-0.6634229323010575,0.0,0.0,4
IL32,0.06908048937683374,-0.6630238369310172,0.0,0.0,3
TACR1,0.06907513005190519,-0.6629750701794821,0.0,0.0,1
MPP1,0.06901779660441548,-0.6624533690276294,0.0,0.0,4
GPR19,0.0690169098935137,0.6624453004722036,0.0,0.0,4
ARL4C,0.06899575733883913,0.5510919095652999,0.0100823631972111,1.0,3
KIF21B,0.0689716493427031,-0.6620334556848199,0.0,0.0,4
VAT1,0.06896631814848773,-0.6619849449064752,0.0,0.0,5
RRAGD,0.06892932376819105,-0.6616483174811608,0.0,0.0,2
SQLE,0.0689276399970648,0.6616329961395273,0.0,0.0,2
ART3,0.06891999958291677,-0.6615634727978099,0.0,0.0,1
MOCS1,0.06890561532776242,-0.6614325844104699,0.0,0.0,6
CRYBA4,0.06885677582374515,0.6609881732226324,0.0,0.0,1
ASCL1,0.0688311412932766,0.5800760308020333,0.0073176242012593,2.0,3
LSM5,0.06881819131266127,0.6606370765285124,0.0,0.0,5
AACS,0.06879066675824826,0.6603866190317069,0.0,0.0,4
RECK,0.06874337153119205,-0.6599562598694257,0.0,0.0,5
SGK1,0.06874041037565536,-0.6599293150698027,0.0,0.0,4
HTRA1,0.06872574037307201,0.4872343018804201,0.0156514361803121,1.0,2
MPZL1,0.06871781874477943,0.6597237443189367,0.0,0.0,6
KDELC1,0.06867482011320067,0.659332481685955,0.0,0.0,3
UBE2D3,0.0686712563632901,-0.3885981886141968,0.0245528252739706,-1.0,3
ETNK2,0.06863248518048286,0.658947258328046,0.0,0.0,4
ETV1,0.06862846491321384,-0.6589106762253322,0.0,0.0,3
LIMK1,0.06862661071351095,0.6588938040824014,0.0,0.0,4
ADK,0.06861239669908856,0.658764464787081,0.0,0.0,4
GMCL1,0.06860425617439009,0.65869039072913,0.0,0.0,3
NPTX1,0.06859894550507725,0.6586420667155058,0.0,0.0,4
KRT81,0.06859891167710538,0.6586417589005625,0.0,0.0,3
HIST3H2A,0.06859000993099511,0.6036927012500662,0.004976566432546,3.0,4
C12orf49,0.06858613581600868,-0.658525505967207,0.0,0.0,5
CEP85,0.06857357781769499,0.6584112354589423,0.0,0.0,4
RAC3,0.0685691786248082,0.5649821748178919,0.0084704423780752,1.0,3
EIF2AK1,0.06846210712362434,0.6360487684388072,0.0019362901505332,1.0,5
DDX11,0.06836444920204536,0.6565082862304075,0.0,0.0,4
SLC39A7,0.06835877418060986,0.656456646823581,0.0,0.0,4
BATF3,0.06832899918723599,-0.6561857116361872,0.0,0.0,3
TMEM147,0.06832489128764169,0.4682522445509026,0.0170422904466565,3.0,4
AUTS2,0.06832245951312053,0.6561262043909725,0.0,0.0,3
RYR2,0.0683149440434513,-0.6560578179716166,0.0,0.0,4
BET1,0.06828183405492647,0.655756536260721,0.0,0.0,4
ABHD5,0.0682720420334263,-0.6556674345387894,0.0,0.0,4
TTN,0.06825976943120621,-0.6555557609696115,0.0,0.0,5
KRT75,0.06822276984814615,0.6552190862021651,0.0,0.0,4
FLT4,0.06818116679570538,-0.6548405225307089,0.0,0.0,5
HLA-DOB,0.0681798145406266,0.6548282177930194,0.0,0.0,2
INTS8,0.0681615909657306,0.6546623938206195,0.0,0.0,5
MATK,0.06814407974277448,-0.3416314427821012,0.0283776469363594,4.0,3
TRAK2,0.06814391214344534,-0.6545015267813354,0.0,0.0,5
NCAPD3,0.06810224552122236,0.654122384661695,0.0,0.0,4
ANO1,0.068077516759166,-0.651447615292708,0.0002221940063158,1.0,2
HTR3A,0.0679999271472579,0.6531913467442116,0.0,0.0,4
TGFB1I1,0.06797982274357972,-0.653008408319689,0.0,0.0,4
MYOT,0.06796684230322694,-0.6528902938336412,0.0,0.0,3
DUS4L,0.06792948274697659,0.6525503435187396,0.0,0.0,4
TLR7,0.067887030236849,-0.6521640502745285,0.0,0.0,2
TMPO,0.06786677011217511,0.6519796948791733,0.0,0.0,3
MARCH2,0.06786422461177793,-0.6519565323004798,0.0,0.0,3
IL2RA,0.06786396815627205,0.6519541987039724,0.0,0.0,4
MCM3,0.06785233759078933,0.6518483672970938,0.0,0.0,4
CRISPLD2,0.06780296443618157,-0.6513991001980921,0.0,0.0,4
ADIPOR2,0.06777505584324217,-0.6387720525232587,0.0011222473682534,-1.0,4
LY75,0.0677750180718893,-0.6511448044757916,0.0,0.0,1
CFLAR,0.0677613051070207,-0.6510200244410911,0.0,0.0,4
CALU,0.06775930630057608,0.651001836460599,0.0,0.0,4
ARSD,0.06773145793934204,0.6507484325093431,0.0,0.0,2
GRB7,0.06772004380830851,0.6506445705305451,0.0,0.0,4
LRRC8D,0.06770792099740595,0.6505342599755642,0.0,0.0,4
DIRAS3,0.06770749470337818,-0.650530380946916,0.0,0.0,4
ZNF536,0.06770132855477266,-0.6504742725674125,0.0,0.0,2
FBL,0.06766442054973437,0.6501384311069017,0.0,0.0,3
IL18,0.06763406896477324,-0.6498622492701541,0.0,0.0,2
DNAJB1,0.06757640322330681,-0.649337524435652,0.0,0.0,3
TPRKB,0.0675709102682548,0.6492875417274218,0.0,0.0,2
APLNR,0.06755675276125633,-0.6491587166169173,0.0,0.0,2
CES3,0.06754937396341505,0.6490915738320049,0.0,0.0,2
LOC100129518,0.06753624330362984,-0.6489720924361624,0.0,0.0,1
CKAP5,0.06752845573648429,0.6489012300874315,0.0,0.0,5
CHST15,0.06752480621995602,0.6488680216016371,0.0,0.0,2
PRSS22,0.06747634815375626,0.648427081276925,0.0,0.0,5
POP7,0.06747564446152379,0.6484206780853449,0.0,0.0,4
PTPRG,0.06745724011039927,-0.6482532091540114,0.0,0.0,4
RFC2,0.06744907664431675,0.6481789263427584,0.0,0.0,4
CCT2,0.0674166078502843,0.647883479130221,0.0,0.0,3
GK2,0.06741400007227832,-0.6478597498613725,0.0,0.0,1
HERC2P2,0.06739582232071174,-0.6476943428547193,0.0,0.0,4
ALG6,0.06739568234527243,0.609106224423757,0.0034998504964957,1.0,5
CDH2,0.06737810501144754,0.6475331256062271,0.0,0.0,2
MTIF2,0.06732198264600679,0.6470224445992914,0.0,0.0,4
HIST1H2AD,0.06731259225011021,0.6469369974376415,0.0,0.0,4
CCT5,0.06730780948311911,0.6468934770292664,0.0,0.0,4
MRPS34,0.06728181844272443,0.6466569736214749,0.0,0.0,5
PRKCH,0.06726211581330344,-0.6464776911098954,0.0,0.0,4
LSP1,0.06721240407601195,-0.6460253431046542,0.0,0.0,2
PHF11,0.0671775939471263,-0.6457085911015753,0.0,0.0,3
SMA4,0.067173127158133,-0.6436663306433059,0.0001815477329793,-1.0,5
NDUFA1,0.06716702823942208,0.3016785314839669,0.0311950174009106,5.0,3
SYT2,0.06716161665118435,0.6455632069661122,0.0,0.0,3
SSFA2,0.067158480058824,-0.645534665793046,0.0,0.0,5
SAP18,0.06712764435595477,-0.6452540787638437,0.0,0.0,5
DIXDC1,0.06711149845823809,-0.6451071604499223,0.0,0.0,5
LIMD2,0.0670912531434862,0.644922939816276,0.0,0.0,2
PDCD1LG2,0.06708258131289287,-0.6448440311825325,0.0,0.0,2
LSG1,0.06708068329102441,0.6448267602832867,0.0,0.0,3
ATXN7,0.06707675557137129,-0.6447910203102533,0.0,0.0,4
HHIPL2,0.0670612298680621,0.6149884964543416,0.0026902934816733,1.0,4
EIF6,0.06705341345139468,0.6445786205434214,0.0,0.0,4
AGPAT4,0.06703458938644964,-0.644407332459513,0.0,0.0,4
PPP1R9A,0.06697721179525482,-0.6438852296255215,0.0,0.0,2
LAMC2,0.06695773558320588,0.6437080073808366,0.0,0.0,1
SPINK2,0.06691809121155652,0.643347266569678,0.0,0.0,4
SUV39H2,0.06690448349327566,0.6432234442179436,0.0,0.0,4
GPR27,0.06690158202263888,-0.6431970425163271,0.0,0.0,1
EXPH5,0.06689588791238969,-0.6431452294123565,0.0,0.0,2
ENOSF1,0.06685398031623599,-0.6427638945695723,0.0,0.0,2
STMN1,0.0668536298281152,0.4223501237495005,0.0199913750052999,6.0,4
RPAP3,0.06683638622243708,0.6426037985104204,0.0,0.0,4
NFIB,0.06677148362807851,-0.6420132225077968,0.0,0.0,5
RSRC1,0.06676392976084859,0.6419444866928871,0.0,0.0,4
