ID_REF,GSE30219,GSE50081,GSE19188,d_Media,d_Minima_Abs,Direccion
PPP1R14C,1.6139829,0.890864,1.3193938,1.2747469,0.890864,escamoso
GSTO1,1.233595,0.890428,0.8989936,1.0076722,0.890428,escamoso
SNRPD3,1.5074142,0.89025795,0.9948334,1.1308352,0.89025795,escamoso
TRAF3IP2,1.6097196,0.8901365,1.1401623,1.2133394,0.8901365,escamoso
PRRC1,-1.5973145,-0.8892552,-1.0602971,-1.182289,0.8892552,adenocarcinoma
ANXA11,-1.3420899,-1.0376241,-0.88925177,-1.0896553,0.88925177,adenocarcinoma
COBL,-1.5345263,-0.8886753,-1.525226,-1.3161426,0.8886753,adenocarcinoma
RBP1,1.8057151,1.2112148,0.88848585,1.3018053,0.88848585,escamoso
MAGI3,-1.0306423,-0.88777304,-1.0029613,-0.97379225,0.88777304,adenocarcinoma
C11orf54,-1.6693166,-0.88737327,-1.2243943,-1.2603614,0.88737327,adenocarcinoma
UNC5B-AS1,1.0940093,1.1533475,0.8863555,1.0445708,0.8863555,escamoso
MKKS,1.4307749,0.8863287,1.2537808,1.1902949,0.8863287,escamoso
ARSE,-1.6236979,-0.88627374,-1.0540895,-1.1880203,0.88627374,adenocarcinoma
LGALSL,1.4229827,0.88605255,1.2098699,1.1729684,0.88605255,escamoso
LINC-PINT,-1.4537035,-0.94555724,-0.8860425,-1.095101,0.8860425,adenocarcinoma
CD97,-1.5232966,-0.88598466,-1.2751626,-1.228148,0.88598466,adenocarcinoma
DAAM2,-1.1346691,-0.8852016,-0.9147431,-0.97820467,0.8852016,adenocarcinoma
BSPRY,-1.3607957,-1.108122,-0.8850827,-1.1180001,0.8850827,adenocarcinoma
UMPS,1.7398504,1.3070745,0.88506263,1.3106626,0.88506263,escamoso
NXPH4,1.496359,0.8845516,0.89267534,1.0911953,0.8845516,escamoso
COL17A1,1.9060262,1.4055688,0.8842397,1.3986115,0.8842397,escamoso
NCK1-AS1,1.2163681,1.1812927,0.8831614,1.0936074,0.8831614,escamoso
ECSIT,1.0060867,0.8831539,0.9649602,0.9514003,0.8831539,escamoso
POLA2,1.4663031,0.8902457,0.8827228,1.0797572,0.8827228,escamoso
DGKD,-1.725472,-0.8826733,-1.0936855,-1.2339436,0.8826733,adenocarcinoma
RAD51,1.6536027,0.8816991,1.25284,1.2627139,0.8816991,escamoso
YPEL1,-1.7225304,-0.8802823,-1.3452253,-1.3160127,0.8802823,adenocarcinoma
ACTG1P4,-1.012768,-0.88024783,-0.9004661,-0.9311606,0.88024783,adenocarcinoma
ACP6,-1.449741,-0.8800594,-0.92784274,-1.0858811,0.8800594,adenocarcinoma
CNFN,1.6498725,0.880014,1.0860137,1.2053,0.880014,escamoso
