ID_REF,GSE30219,GSE50081,GSE19188,d_Media,d_Minima_Abs,Replicado_3_Cohortes,Direccion
ZNF385A,1.7963883322934109,1.1702332676084406,1.374136170443413,1.446919256781755,1.1702332676084406,True,Escamoso
ERRFI1,-1.2578137572566523,-1.1689689788441238,-1.2920670587302758,-1.2396165982770173,1.1689689788441238,True,Adenocarcinoma
ACKR3,2.0648814350081297,1.1684767613603018,1.3128002317203413,1.5153861426962578,1.1684767613603018,True,Escamoso
IGSF3,1.928201474999276,1.357986947198006,1.1671484395447287,1.4844456205806702,1.1671484395447287,True,Escamoso
TMPRSS4,1.2582166318785595,1.1658023379415234,1.3552720851234166,1.2597636849811666,1.1658023379415234,True,Escamoso
PLEKHG3,2.00077147907699,1.1637445721500257,1.9037212267103207,1.6894124259791121,1.1637445721500257,True,Escamoso
EFS,1.6061554914999538,1.1635671711010571,1.4868646634840643,1.4188624420283584,1.1635671711010571,True,Escamoso
ADD2,1.1825953734963013,1.1635412301303394,1.20563944193445,1.1839253485203636,1.1635412301303394,True,Escamoso
RAPH1,-1.6306337458424023,-1.1633389295756071,-1.3904917726821224,-1.394821482700044,1.1633389295756071,True,Adenocarcinoma
LSG1,2.231913231662007,1.1605536639001661,1.6038290829889261,1.6654319928503665,1.1605536639001661,True,Escamoso
RAB17,-2.213322676192998,-1.1598804472601199,-1.8474620058862747,-1.7402217097797976,1.1598804472601199,True,Adenocarcinoma
GJB2,1.9554931510428757,1.159525457746221,1.6931037214603624,1.6027074434164863,1.159525457746221,True,Escamoso
PCYT1B,1.3350506746499822,1.159198606504034,1.4318733177091703,1.3087075329543956,1.159198606504034,True,Escamoso
RPS6KA2,-1.906156443406857,-1.1590028807643225,-1.237098247864179,-1.4340858573451196,1.1590028807643225,True,Adenocarcinoma
PON2,-1.6590140589689093,-1.1588678380421555,-1.363576418632363,-1.3938194385478093,1.1588678380421555,True,Adenocarcinoma
MST1R,-1.3111575100160469,-1.1861448239539212,-1.1588173300938804,-1.2187065546879496,1.1588173300938804,True,Adenocarcinoma
CEL,1.270133668004448,1.2994954795448619,1.1584145268299522,1.2426812247930872,1.1584145268299522,True,Escamoso
ATP11B,2.48644604948863,1.156420032369636,2.313460920107561,1.985442333988609,1.156420032369636,True,Escamoso
BAIAP2-AS1,-1.6326363558507861,-1.1554881750249544,-1.243163208245067,-1.343762579706936,1.1554881750249544,True,Adenocarcinoma
RASSF9,1.4471312577321878,1.1521635130743704,1.3665993712098357,1.3219647140054647,1.1521635130743704,True,Escamoso
FZD10,1.150994764586359,1.180182475207479,1.3760431544755174,1.2357401314231184,1.150994764586359,True,Escamoso
P2RY1,2.174453038111746,1.1502761691815355,1.95673568692903,1.760488298074104,1.1502761691815355,True,Escamoso
IL20RB,1.274352253073884,1.1491714932590265,1.2886377299271137,1.2373871587533414,1.1491714932590265,True,Escamoso
B3GNT5,2.0035586016988303,1.148648898584759,1.1621855428401378,1.4381310143745758,1.148648898584759,True,Escamoso
ZDHHC9,-1.7016987892621578,-1.2845365248742677,-1.14720518111326,-1.3778134984165618,1.14720518111326,True,Adenocarcinoma
A4GALT,1.266561059563695,1.4568915505713675,1.146231566037982,1.289894725391015,1.146231566037982,True,Escamoso
C9orf152,-1.7615207054146604,-1.1448721678568516,-1.179564161785066,-1.3619856783521929,1.1448721678568516,True,Adenocarcinoma
AC079305.10,1.1533427685396447,1.144855925470814,1.2220253470187628,1.1734080136764071,1.144855925470814,True,Escamoso
POLR2H,1.438143755764368,1.1440923901947542,1.2099096527766893,1.2640485995786037,1.1440923901947542,True,Escamoso
INPPL1,-1.891145001486404,-1.1435526687303073,-1.2044672265307237,-1.413054965582478,1.1435526687303073,True,Adenocarcinoma
DIRC3,1.3166193272665616,1.1429343767845683,1.2642317429688807,1.2412618156733368,1.1429343767845683,True,Escamoso
UFC1,-1.851053883932929,-1.1414041375495037,-1.3957057937221722,-1.4627212717348683,1.1414041375495037,True,Adenocarcinoma
LARP6,1.7633547262379212,1.512906370973286,1.139650158311447,1.4719704185075513,1.139650158311447,True,Escamoso
EIF4G1,1.9097857906536053,1.1395227918813406,1.19332855558499,1.4142123793733121,1.1395227918813406,True,Escamoso
IFI27L2,1.1394747700452983,1.1592396739495658,1.1542021274491618,1.1509721904813421,1.1394747700452983,True,Escamoso
CHCHD6,1.4671187721929133,1.4309588350715816,1.1387277801053468,1.3456017957899473,1.1387277801053468,True,Escamoso
GPR133,-1.816778716147719,-1.1375754955947477,-1.3994213198382899,-1.451258510526919,1.1375754955947477,True,Adenocarcinoma
ARL4D,1.891118548106236,1.1375187734610395,1.6225074850590393,1.5503816022087715,1.1375187734610395,True,Escamoso
BID,1.48470048884417,1.2587622458348755,1.1372044375364878,1.2935557240718445,1.1372044375364878,True,Escamoso
AKR1C2,1.1367985807536252,1.151776582859639,1.2661116254593694,1.1848955963575445,1.1367985807536252,True,Escamoso
ADM,2.326708580190567,1.136288273780647,1.6217321083086698,1.6949096540932949,1.136288273780647,True,Escamoso
MAPKBP1,2.525544385976147,1.1347588619094653,1.6698617904060478,1.7767216794305536,1.1347588619094653,True,Escamoso
TET3,1.7914621386796261,1.3051602815706662,1.1343576260343584,1.4103266820948834,1.1343576260343584,True,Escamoso
